뉴스제목,링크
오픈AI·세레브라스 '초저지연 AI' 협업…엔비디아 의존도 낮추기 시동,https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213154512
"앤트로픽, 300억 달러 투자 유치…기업가치 2배 껑충",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213152846
"업스테이지-룰루메딕, 의료 특화 모델·마이데이터 혁신 나서",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213133628
"[ZD SW 투데이] 하이브랩, 가짜 금 판별 AI 플랫폼 개발 착수 外",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213112936
"엔비디아, 38억 달러 채권 조달 데이터센터 임차…'AI 빚투' 경쟁 가세",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213152509
"정부, 'AI 기본의료' 전략 시동…""의료 기본권 보장""",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213142716
"씨이랩, 2025년 연결매출 102억...전년비 13% 증가",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213143902
저평가주 외인 매수세에...SK텔레콤 주가 고공행진,https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213103423
포티투마루가 제시한 공공 AX 해법은?,https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213144231
AI 민주정부 속도전…과기정통부·행안부 투트랙 드라이브,https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213143737
"""우주에 데이터센터 구축? 한국은 공급망 선점부터”",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213143550
"""또 실패는 없다""…구글이 AI 글래스 '킬러앱'에 카톡 찜한 이유",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213114337
"다쏘시스템, 영업익 5%↑…'피지컬 AI' 생태계 선점 시동",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213135126
"아키스케치-삼성전자, 프리미엄 주방 디자인 챌린지 개최",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213134105
"""피지컬 GPT, 한국이 선도할 수 있다""",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213094425
"어플라이드 인튜이션, 英 국방부 '군집 드론' 사업자 선정",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213131454
진짜 같은 영상 만드는 시댄스... 온디맨드 컨텐츠 서비스 나올까,https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213104333
"현대백화점 판교점, '오버워치' 팝업 얼었다",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213122618
"엔닷라이트, '로봇 학습용 3D 자산 생성' 기술 개발 착수",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213125352
"소니, WH-1000XM6 '샌드 핑크' 출시",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213124902
"바디프랜드 라운지, 설 연휴 정상영업",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213115322
"뉴로메카, 전기모터 양산라인 AI 자동화 실증",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213114750
"리니지 의존도 낮추는 엔씨, '모바일 캐주얼' 구원투수 될까",https://zdnet.co.krhttps://zdnet.co.kr/view/?no=20260213112258
