메뉴 이름,가격 정보
치킨난반 덮밥,"6,200"
할라피뇨 치킨난반 덮밥,"6,200"
반찬 할라피뇨 치킨난반,"5,200"
반찬 치킨난반,"5,200"
스페셜 한우함박스테이크 도시락,"14,000"
스페셜 해바라기 도시락,"13,000"
스페셜 숯불직화 진달래 도시락,"12,000"
스페셜 송정식 떡갈비 도시락,"11,000"
매화,"11,300"
해바라기,"10,300"
진달래,"8,800"
새치 고기고기,"7,800"
돈까스도련님 고기고기,"7,300"
돈치 고기고기,"6,800"
동백,"6,700"
소불고기,"6,300"
돈치스팸,"5,500"
칠리 찹쌀탕수육도련님,"5,000"
돈까스도련님,"5,200"
제육 돈까스도련님,"5,200"
제육볶음,"5,200"
한우 함박스테이크& 청양 토네이도 소세지,"9,000"
한우 함박스테이크&토네이도 소세지,"9,000"
더블 돈까스도련님,"10,500"
송정식 떡갈비,"7,200"
더블 칠리 찹쌀탕수육도련님,"8,500"
송정식 떡갈비 Ⅱ,"7,200"
치킨제육,"5,500"
메가치킨마요,"6,600"
왕치킨마요,"5,600"
빅치킨마요,"4,600"
치킨마요,"3,900"
메가스팸마요,"6,300"
스팸마요,"4,400"
참치마요,"3,800"
김치볶음밥&돼지불백,"7,900"
스팸 김치볶음밥,"5,200"
김치볶음밥,"4,400"
부대찌개,"6,500"
묵은지 김치찌개,"6,000"
돼지불백 덮밥,"5,900"
제많덮(제육 많이 덮밥),"6,500"
빅 제많덮(빅 제육 많이 덮밥),"7,500"
숯불직화구이 덮밥,"6,500"
김치 제육 덮밥,"5,200"
왕카레돈까스덮밥,"6,700"
오리지널 치즈 닭갈비덮밥,"6,500"
김치 참치 덮밥,"4,900"
핫 치즈 닭갈비덮밥,"6,500"
돈까스 카레,"5,100"
돈까스 덮밥,"4,700"
마파두부 덮밥,"5,000"
소불고기 감초고추장 비빔밥,"6,000"
시골제육 두부강된장 비빔밥,"6,500"
참치야채 감초고추장 비빔밥,"4,000"
빅치킨마요 부대찌개 정식,"8,800"
치킨마요 부대찌개 정식,"8,100"
단품 부대찌개,"5,200"
단품 묵은지 김치찌개,"4,700"
단품 카레,"2,900"
반찬 돈까스도련님,"4,200"
반찬 치킨,"4,000"
반찬 제육볶음,"3,900"
반찬 돈까스,"2,900"
반찬 토네이도 소세지,"3,200"
반찬 고기고기,"3,900"
반찬 고등어 데리야끼,"3,900"
미니반찬 김치,500
미니반찬 무말랭이 무침,600
12곡밥,"2,100"
발아현미밥,"1,900"
한솥밥,"1,200"
해시 포테이토 스틱,"2,000"
치즈버터 해시 포테이토 스틱,"2,200"
허니버터 해시 포테이토 스틱,"2,200"
뉴 감자고로케,"2,700"
미니 찹쌀핫도그,"2,800"
미니 찹쌀탕수육,"2,300"
케이준후라이,"1,900"
김피탕,"6,700"
크림 닭강정(소),"3,900"
크림 닭강정(중),"9,900"
한솥 닭강정(소),"3,500"
한솥 닭강정(중),"9,000"
후라이드 순살(소)_양념치킨소스,"4,000"
후라이드 순살(소)_케이준소스,"4,000"
후라이드 순살(중),"7,500"
"치킹 반반순살(양념, 후라이드)","16,900"
치킹 반반순살(후라이드),"16,900"
제주녹차 미니꿀호떡,"2,500"
