메뉴 이름,가격 정보
추추 치킨 스테이크 (1.5 SET),"17,000원"
추추 치킨 스테이크 (2 SET),"22,000원"
굽네 장각구이,"23,900원"
볼케이노 장각,"23,900원"
오리지널 장각,"21,900원"
콤비네이션 시카고 피자,"18,900원"
오리지널 장각 3조각,"17,900원"
굽네 장각구이 3조각,"19,900원"
볼케이노 장각 3조각,"19,900원"
오리지널,"17,900원"
볼케이노,"19,900원"
갈비천왕,"19,900원"
고추 바사삭,"19,900원"
시카고 딥디쉬 피자,"17,500원"
양념 히어로,"19,900원"
오븐 바사삭,"18,900원"
남해마늘 바사삭,"20,900원"
웨지감자(국내산),"4,000원"
바비큐 시카고 피자,"18,900원"
고추 바사삭 곱빼기(1.5마리),"28,900원"
페퍼로니 시카고 피자,"18,900원"
미니 바게트(10개),"2,500원"
오리지널 곱빼기(1.5마리),"25,900원"
갈릭버터 웨지감자,"5,000원"
반반A) 볼케이노 반반,"19,900원"
콰트로 치즈 웨지감자,"5,000원"
추블링 살사,900원
매콤치즈 웨지감자(국내산),"5,000원"
반반B) 갈비천왕 반반,"19,900원"
치트킹 콘스프맛,"1,000원"
치트킹 매콤치즈맛,"1,000원"
콘스프 웨지감자(국내산),"5,000원"
폭립,"22,500원"
모짜치즈볼(5pcs),"5,000원"
요블링 소스,900원
고블링 소스,900원
마블링 소스,900원
콰트로 모짜치즈볼(5pcs),"6,000원"
알블링 소스,900원
마그마 소스,700원
왕중왕 소스,700원
맵달떡볶이,"8,500원"
케이준감자,"4,000원"
매콤 소스,700원
달콤 소스,700원
갈릭버터 케이준감자,"5,000원"
콰트로 치즈 케이준감자,"5,000원"
오리지널+치트킹(매콤),"18,900원"
매콤치즈 케이준감자,"5,000원"
찍먹커리(티카마살라),"2,900원"
오리지널+치트킹(콘스프),"18,900원"
콘스프 케이준감자,"5,000원"
찍먹커리(치킨마크니),"2,900원"
볼로네제 파스타,"6,700원"
바질&토마토 피자(S),"9,000원"
까르보나라 파스타,"7,200원"
갈릭크림 바게트볼,"3,300원"
스윗 콘치즈 피자(S),"9,000원"
바게트볼 2ea,"6,000원"
갈비천왕 플러스 피자(M),"15,900원"
에그타르트(2pcs),"4,700원"
트리플 포테이토 피자(M),"14,900원"
갈비천왕 치즈치밥,"6,300원"
볼케이노 치즈치밥,"6,300원"
매콤치즈 소떡소떡,"2,800원"
불닭발,"21,000원"
(토핑) 남해 구운마늘 (8알),"1,000원"
핫소스,200원
갈릭딥핑소스,300원
양념 반반,"19,900원"
